None	prod_RztjFOqIqShpMB	Product Created	23/03/2025 14:12	product.created
None	price_1R5twRF4Cu6plZwPdJA0lVK6	Price Created	23/03/2025 14:12	price.created
None	ch_3R5twUF4Cu6plZwP0Y6unxw2	Unknown	23/03/2025 14:12	charge.succeeded
None	cs_test_a1IJPBxF8cQGmoSKT6RtyVXF0K8eoy2sNGQfJG9WJrn2TtJPOSlg6UPt9a	Checkout Completed	23/03/2025 14:12	checkout.session.completed
None	pi_3R5twUF4Cu6plZwP0qJLxvN8	Paid	23/03/2025 14:12	payment_intent.succeeded
None	pi_3R5twUF4Cu6plZwP0qJLxvN8	Payment Initialized	23/03/2025 14:12	payment_intent.created
None	ch_3R5twUF4Cu6plZwP0Y6unxw2	Charge Updated	23/03/2025 14:12	charge.updated
692604018	ch_3R5tyqF4Cu6plZwP16X8tDqE	Unknown	23/03/2025 14:14	charge.succeeded
692604018	cs_test_a1mdHijfGI56YMIHTPw78loVTu4J8nVWvAgv8b8SKFSxqS4cHYFEncxd7v	Checkout Completed	23/03/2025 14:14	checkout.session.completed
692604018	pi_3R5tyqF4Cu6plZwP1jkS1M0U	Paid	23/03/2025 14:14	payment_intent.succeeded
692604018	pi_3R5tyqF4Cu6plZwP1jkS1M0U	Payment Initialized	23/03/2025 14:14	payment_intent.created
692604018	ch_3R5tyqF4Cu6plZwP16X8tDqE	Charge Updated	23/03/2025 14:14	charge.updated
687230721	ch_3R5u0KF4Cu6plZwP0HyQthHf	Charge Succeded	23/03/2025 14:16	charge.succeeded
687230721	cs_test_a1G59NxidiBKd33dpLf8TlVEtznTvPvBWjgZXhmzxHIoaNvXhuaBKOWyGu	Checkout Completed	23/03/2025 14:16	checkout.session.completed
687230721	pi_3R5u0KF4Cu6plZwP0QcG3aJG	Paid	23/03/2025 14:16	payment_intent.succeeded
687230721	pi_3R5u0KF4Cu6plZwP0QcG3aJG	Payment Initialized	23/03/2025 14:16	payment_intent.created
687230721	ch_3R5u0KF4Cu6plZwP0HyQthHf	Charge Updated	23/03/2025 14:16	charge.updated
394939923	ch_3R5upSF4Cu6plZwP0rwNLaM3	Charge Succeded	23/03/2025 15:09	charge.succeeded
394939923	pi_3R5upSF4Cu6plZwP0wOfH95T	Paid	23/03/2025 15:09	payment_intent.succeeded
394939923	pi_3R5upSF4Cu6plZwP0wOfH95T	Payment Initialized	23/03/2025 15:09	payment_intent.created
394939923	cs_test_a1GXuWnCGchIUP9x7CC98jB8AFNUm7a2LDgOorj0vnKqxF5TxVYWjt34Vh	Checkout Completed	23/03/2025 15:09	checkout.session.completed
394939923	ch_3R5upSF4Cu6plZwP0rwNLaM3	Charge Updated	23/03/2025 15:09	charge.updated
894606741	re_3R5upSF4Cu6plZwP0qmY6Ao1	Unknown	23/03/2025 15:15	refund.created
894606741	ch_3R5upSF4Cu6plZwP0rwNLaM3	Unknown	23/03/2025 15:15	charge.refunded
894606741	re_3R5upSF4Cu6plZwP0qmY6Ao1	Unknown	23/03/2025 15:15	refund.updated
894606741	re_3R5upSF4Cu6plZwP0qmY6Ao1	Unknown	23/03/2025 15:15	charge.refund.updated
